メニュー,platform,external_id,video_url,video_id,動画URL,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories,temperature,effort,dishes,knife,heat,thumbnail_url,ingredient_score,richness_score,taste_level
【世界一簡単かもしれない♡︎絶品！じゃがいもだけグラタン】 #簡単レシピ #おうちごはん #料理 #cooking,youtube,swvPU36fi7w,https://www.youtube.com/watch?v=swvPU36fi7w,swvPU36fi7w,https://www.youtube.com/watch?v=swvPU36fi7w,DOKIN,easy,白身魚、じゃが芋、チーズ、バター、牛乳,rich,4,YouTube Data API収集,"whitefish,potato,cheese,butter,milk",魚介;根菜;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/swvPU36fi7w/maxresdefault.jpg,6.97,7.08,がっつり
おかわりとまらん！なすの豚バラ巻き #簡単レシピ #村上農園 #ナスレシピ #料理 #cooking,youtube,FwpctGyGYbM,https://www.youtube.com/watch?v=FwpctGyGYbM,FwpctGyGYbM,https://www.youtube.com/watch?v=FwpctGyGYbM,村上農園ユーチューバー部,normal,豚肉、白身魚、なす,semi-light,2,YouTube Data API収集,"pork,whitefish,eggplant",肉類;魚介;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/FwpctGyGYbM/maxresdefault.jpg,5.43,4.96,ややあっさり
材料3つ！レンジで簡単「のび〜るチョコ餅」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,youtube,v4UDCpbzIVY,https://www.youtube.com/watch?v=v4UDCpbzIVY,v4UDCpbzIVY,https://www.youtube.com/watch?v=v4UDCpbzIVY,低空飛行キッチン,easy,白身魚、牛乳,semi-rich,2,YouTube Data API収集,"whitefish,milk",魚介;チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/v4UDCpbzIVY/maxresdefault.jpg,7.9,6.44,ややがっつり
包丁いらないし、洗い物少ないし、しかも10分で作れた！【とろたま豚丼】詳しいレシピは概要欄を見てね♪ #豚肉 #豚こま肉 #料理 #丼 #丼飯 #簡単レシピ #レシピ #料理 #料理動画,youtube,tlQvKqviK_I,https://www.youtube.com/watch?v=tlQvKqviK_I,tlQvKqviK_I,https://www.youtube.com/watch?v=tlQvKqviK_I,デリッシュキッチン,easy,豚肉、卵、ご飯・米、にら、ネギ、しめじ,semi-light,2,YouTube Data API収集,"pork,egg,rice,nira,green_onion,shimeji",肉類;卵;米;葉物野菜;きのこ,warm,1,1,true,true,https://i.ytimg.com/vi/tlQvKqviK_I/maxresdefault.jpg,5.48,4.89,ややあっさり
クリスマスこれ良くない？⭐️我が家で大絶賛された秘密レシピ💕#簡単レシピ #じゃがいもレシピ #クリスマスレシピ #クリスマス料理 #cooking #shorts,youtube,0PKTJbVcD90,https://www.youtube.com/watch?v=0PKTJbVcD90,0PKTJbVcD90,https://www.youtube.com/watch?v=0PKTJbVcD90,yuchi,normal,じゃが芋,light,2,YouTube Data API収集,potato,根菜,warm,3,2,true,true,https://i.ytimg.com/vi/0PKTJbVcD90/maxresdefault.jpg,3.0,3.5,あっさり
【家にある調味料で作る】簡単絶品親子丼レシピ大公開！【フライパンでふわとろ食感♪】,youtube,5d-r8rLTr00,https://www.youtube.com/watch?v=5d-r8rLTr00,5d-r8rLTr00,https://www.youtube.com/watch?v=5d-r8rLTr00,デリッシュキッチン,easy,鶏肉、白身魚、卵、ご飯・米、ネギ、玉ねぎ,semi-rich,5,YouTube Data API収集,"chicken,whitefish,egg,rice,green_onion,onion",鶏肉;魚介;卵;米;葉物野菜;根菜,warm,1,1,true,true,https://i.ytimg.com/vi/5d-r8rLTr00/maxresdefault.jpg,4.72,6.23,ややがっつり
【秒でなくなる】ささみのクリスピーチキン！ #時短レシピ #簡単ごはん,youtube,g3BvUws0PSg,https://www.youtube.com/watch?v=g3BvUws0PSg,g3BvUws0PSg,https://www.youtube.com/watch?v=g3BvUws0PSg,ぽっけ夫婦⌇家族が喜ぶ10分ごはん,easy,鶏肉、白身魚、にんにく、マヨネーズ、小麦粉、カレールゥ,rich,4,YouTube Data API収集,"chicken,whitefish,garlic,mayonnaise,flour,curry_roux",鶏肉;魚介;根菜;チーズ・バター・マヨ系;米,warm,3,2,true,true,https://i.ytimg.com/vi/g3BvUws0PSg/maxresdefault.jpg,7.06,7.14,がっつり
【厚揚げとピーマンのそぼろ餡 】#簡単レシピ #おうちごはん #料理 #簡単料理 #おうちごはんラバー #夜ごはん #レシピ付き #時短レシピ #夜ご飯,youtube,v0yYVIeVeLg,https://www.youtube.com/watch?v=v0yYVIeVeLg,v0yYVIeVeLg,https://www.youtube.com/watch?v=v0yYVIeVeLg,Aya(つくあや),easy,挽肉、白身魚、厚揚げ、ピーマン,semi-rich,5,YouTube Data API収集,"minced_meat,whitefish,atsuage,bell_pepper",肉類;魚介;豆腐・大豆系;葉物野菜,warm,3,2,false,true,https://i.ytimg.com/vi/v0yYVIeVeLg/maxresdefault.jpg,5.2,6.62,ややがっつり
【ペッパーランチ】の作り方 #おうちごはん #レシピ #料理 #休日 #cooking #cookingchannel,youtube,UtBl1skNh_Q,https://www.youtube.com/watch?v=UtBl1skNh_Q,UtBl1skNh_Q,https://www.youtube.com/watch?v=UtBl1skNh_Q,「まおごはん」,easy,白身魚、ネギ、コーン缶、にんにく、バター,semi-rich,4,YouTube Data API収集,"whitefish,green_onion,corn,garlic,butter",魚介;葉物野菜;根菜;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/UtBl1skNh_Q/maxresdefault.jpg,6.15,6.59,ややがっつり
【子どもが爆食い】玉ねぎが主役のチーズガレット #簡単レシピ #時短レシピ,youtube,wEU8t-VpkmY,https://www.youtube.com/watch?v=wEU8t-VpkmY,wEU8t-VpkmY,https://www.youtube.com/watch?v=wEU8t-VpkmY,ぽっけ夫婦⌇家族が喜ぶ10分ごはん,easy,ベーコン、白身魚、ツナ、ネギ、玉ねぎ、チーズ,rich,4,YouTube Data API収集,"bacon,whitefish,canned_tuna,green_onion,onion,cheese",肉類;魚介;葉物野菜;根菜;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/wEU8t-VpkmY/maxresdefault.jpg,6.64,6.88,がっつり
失敗なしの超絶に美味しいペペロンチーノ,youtube,1RcvYjxy5hc,https://www.youtube.com/watch?v=1RcvYjxy5hc,1RcvYjxy5hc,https://www.youtube.com/watch?v=1RcvYjxy5hc,ハマごはん【お手軽レシピ】,easy,白身魚、パスタ、にんにく,light,2,YouTube Data API収集,"whitefish,pasta,garlic",魚介;麺;根菜,warm,3,2,false,true,https://i.ytimg.com/vi/1RcvYjxy5hc/maxresdefault.jpg,4.83,4.6,あっさり
牛乳だけで簡単おやつ,youtube,Q8RlfFCRf9Q,https://www.youtube.com/watch?v=Q8RlfFCRf9Q,Q8RlfFCRf9Q,https://www.youtube.com/watch?v=Q8RlfFCRf9Q,マイドンの飯物語,normal,牛乳,rich,2,YouTube Data API収集,milk,チーズ・バター・マヨ系,warm,3,2,false,true,https://i.ytimg.com/vi/Q8RlfFCRf9Q/maxresdefault.jpg,10.0,7.7,がっつり
#天津飯#簡単レシピ#レシピ#料理#おうちごはん,youtube,u1ojJ1w_jsM,https://www.youtube.com/watch?v=u1ojJ1w_jsM,u1ojJ1w_jsM,https://www.youtube.com/watch?v=u1ojJ1w_jsM,まゆみの愛情キッチン,normal,卵,semi-light,2,YouTube Data API収集,egg,卵,warm,3,2,false,true,https://i.ytimg.com/vi/u1ojJ1w_jsM/maxresdefault.jpg,5.0,4.7,ややあっさり
材料2つ♪お餅あったらまずこれやってみて🥳#簡単レシピ #切り餅 #節約レシピ #簡単おやつ #cooking #shorts,youtube,WVBQZEuZX2g,https://www.youtube.com/watch?v=WVBQZEuZX2g,WVBQZEuZX2g,https://www.youtube.com/watch?v=WVBQZEuZX2g,yuchi,normal,白身魚,light,2,YouTube Data API収集,whitefish,魚介,warm,3,2,false,true,https://i.ytimg.com/vi/WVBQZEuZX2g/maxresdefault.jpg,4.0,4.1,あっさり
8キロ痩せた私が作る『世界一簡単な！ 鶏むねの茹で方』#ダイエット #ダイエットレシピ #鶏むね肉,youtube,kUm-Ah1qGcg,https://www.youtube.com/watch?v=kUm-Ah1qGcg,kUm-Ah1qGcg,https://www.youtube.com/watch?v=kUm-Ah1qGcg,チピオキ,normal,鶏肉,semi-light,1,YouTube Data API収集,chicken,鶏肉,warm,3,2,true,true,https://i.ytimg.com/vi/kUm-Ah1qGcg/maxresdefault.jpg,6.0,4.7,ややあっさり
無限ハッシュドポテト作りました🥔作り方はコメント欄へ#二人暮らし #同棲生活 #料理,youtube,ziXuAu_hPeE,https://www.youtube.com/watch?v=ziXuAu_hPeE,ziXuAu_hPeE,https://www.youtube.com/watch?v=ziXuAu_hPeE,よへ 僕がいい旦那になるまで,normal,じゃが芋,light,2,YouTube Data API収集,potato,根菜,warm,3,2,true,true,https://i.ytimg.com/vi/ziXuAu_hPeE/maxresdefault.jpg,3.0,3.5,あっさり
ワンパンクリームパスタ #簡単レシピ,youtube,_GKjidJH_NE,https://www.youtube.com/watch?v=_GKjidJH_NE,_GKjidJH_NE,https://www.youtube.com/watch?v=_GKjidJH_NE,わか︴夫の胃袋掴む楽うまごはん,normal,パスタ,semi-rich,3,YouTube Data API収集,pasta,麺,warm,3,2,false,true,https://i.ytimg.com/vi/_GKjidJH_NE/maxresdefault.jpg,6.0,5.9,ややがっつり
【Instagram1300万再生突破‼️】ツナの韓国風簡単混ぜおにぎり #簡単料理 #簡単レシピ #おにぎり #韓国海苔,youtube,cIo-cysP8ZM,https://www.youtube.com/watch?v=cIo-cysP8ZM,cIo-cysP8ZM,https://www.youtube.com/watch?v=cIo-cysP8ZM,あつメシ×あさとファミリー,normal,白身魚、ツナ、ご飯・米、ネギ,light,2,YouTube Data API収集,"whitefish,canned_tuna,rice,green_onion",魚介;米;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/cIo-cysP8ZM/maxresdefault.jpg,4.37,4.32,あっさり
