video_id,title,video_url,creator,current_ingredients,current_tags,current_time,current_temperature,current_knife,current_heat,audit_category,correct_ingredients,correct_time,correct_temperature,correct_knife,correct_heat,reviewer,reviewed_at,review_status,notes
rJrqt7on9Cw,【冷やしうどんレシピ10選】暑い日に食べたい！さっぱり簡単うどんアレンジ,https://www.youtube.com/watch?v=rJrqt7on9Cw,macaroni | マカロニ,牛肉、挽肉、ツナ、卵、うどん、パスタ、napa_cabbage、きゅうり、ネギ、トマト、ピーマン、玉ねぎ、大根、わかめ、ショウガ、にんにく、バター、カレールゥ,"beef,minced_meat,canned_tuna,egg,udon,pasta,napa_cabbage,cucumber,green_onion,tomato,bell_pepper,onion,daikon,wakame,ginger,garlic,butter,curry_roux",easy,cold,true,true,卵,,,,,,,,unreviewed,
V3-vEVA4DFM,【節約レシピ】4人家族平日5日間の晩ごはんレシピ！1食約100円の激安料理/平日1週間分の晩ご飯紹介,https://www.youtube.com/watch?v=V3-vEVA4DFM,4人家族ぴーちの節約術,豚肉、鶏肉、挽肉、サバ、ツナ、豆腐、キャベツ、napa_cabbage、小松菜、ネギ、もやし、トマト、玉ねぎ、にんじん、大根、えのき茸、ショウガ、にんにく,"pork,chicken,minced_meat,mackerel,canned_tuna,tofu,cabbage,napa_cabbage,komatsuna,green_onion,bean_sprouts,tomato,onion,carrot,daikon,enoki,ginger,garlic",normal,warm,true,true,根菜,,,,,,,,unreviewed,
6bIZdZkSEmY,野菜もりもり食べれちゃう！そぼろ丼の作り方✨ #おうちごはん #shots,https://www.youtube.com/watch?v=6bIZdZkSEmY,まみ(mami) ラクうまごはん,挽肉、ご飯・米、小松菜、にんじん、ショウガ,"minced_meat,rice,komatsuna,carrot,ginger",easy,warm,true,true,米,,,,,,,,unreviewed,
P4AAXcpLPoY,やみつきになるモチモチ食感！フライドうどん ｜ How To Make Fried Japanese Wheat Noodle,https://www.youtube.com/watch?v=P4AAXcpLPoY,デリッシュキッチン,鶏肉、ベーコン、うどん、ネギ、じゃが芋、玉ねぎ、大根、チーズ、バター、マヨネーズ、小麦粉,"chicken,bacon,udon,green_onion,potato,onion,daikon,cheese,butter,mayonnaise,flour",easy,warm,true,true,肉類,,,,,,,,unreviewed,
H_MthNY1WTE,ブロッコリー茹でちゃダメ！ #youtubeshorts #簡単レシピ #時短レシピ,https://www.youtube.com/watch?v=H_MthNY1WTE,Akkaの時短クッキング,ブロッコリー,broccoli,easy,warm,false,true,葉物野菜,,,,,,,,unreviewed,
yQD28fALc0s,【 食費月一万円 】節約ごはんを楽しむ一人暮らし社会人のごはん記録 / 野菜保存法🥕 / おにぎり大量ストック🍙🧡,https://www.youtube.com/watch?v=yQD28fALc0s,shiroのくらし,豚肉、サケ、ツナ、厚揚げ、卵、ご飯・米、ほうれん草、コーン缶、昆布、ショウガ、バター,"pork,salmon,canned_tuna,atsuage,egg,rice,spinach,corn,kombu,ginger,butter",normal,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
TqlBj2j-jSc,地味ご飯の時に助かるラディッシュ菜飯 #時短レシピ #夏レシピ #主婦 #簡単料理 #ライフハック #料理 #知ってて得する #豆知識 #shorts #ラディッシュ #菜飯 #混ぜご飯,https://www.youtube.com/watch?v=TqlBj2j-jSc,冷凍子ママ,たこ,octopus,easy,warm,false,true,魚介,,,,,,,,unreviewed,
T7uG9tuRyQQ,㊗️80万再生 基本の照り焼き鶏肉の作り方,https://www.youtube.com/watch?v=T7uG9tuRyQQ,家政夫ミツキの10分作りおき,鶏肉,chicken,normal,warm,true,true,鶏肉,,,,,,,,unreviewed,
j8RGWROicl4,1皿98円。トマトソース買うのがバカらしくなるウマさだこれ【虚無トマトパスタ】 #リュウジ #料理 #パスタ,https://www.youtube.com/watch?v=j8RGWROicl4,料理研究家リュウジのバズレシピ,パスタ、トマト,"pasta,tomato",normal,warm,true,true,麺,,,,,,,,unreviewed,
bCeYSaFAXOA,懐かしの昭和の味！笠原流【焼きうどん】の作り方,https://www.youtube.com/watch?v=bCeYSaFAXOA,【賛否両論】笠原将弘の料理のほそ道,豚肉、うどん、ビーフン・フォー、キャベツ、ネギ、ピーマン、にんじん、しいたけ、ショウガ,"pork,udon,rice_noodles,cabbage,green_onion,bell_pepper,carrot,shiitake,ginger",easy,warm,true,true,きのこ,,,,,,,,unreviewed,
Xktr0gbHbK0,ウィンナーと卵さえあれば作れる超最強おかず。ご飯無限です,https://www.youtube.com/watch?v=Xktr0gbHbK0,だれウマ【料理研究家】,卵、マヨネーズ,"egg,mayonnaise",normal,warm,false,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
OWFmmA1Fa-w,10分で激うま！焼き鳥丼 #簡単レシピ #今日の晩ごはん #ワーママご飯 #ワンパンレシピ #おうちごはん #時短レシピ #こどもごはん #焼き鳥 #鶏肉レシピ,https://www.youtube.com/watch?v=OWFmmA1Fa-w,つき,鶏肉、卵、ご飯・米、ネギ,"chicken,egg,rice,green_onion",easy,warm,true,true,卵,,,,,,,,unreviewed,
BKHdBp6HH_k,レンジで簡単🥟包まない小籠包 #料理 #レシピ #小籠包 #時短料理 #shorts,https://www.youtube.com/watch?v=BKHdBp6HH_k,いとえり時短クッキング,挽肉、ネギ、ショウガ,"minced_meat,green_onion,ginger",easy,warm,true,true,根菜,,,,,,,,unreviewed,
